X,Y,subgeol,subwinrad3,subflocum3,subveg15
729794.87206100000,3849716.40723000000,1,1,1,4
736446.89609800000,3849496.04634000000,2,2,2,0
726454.43815700000,3850567.27028000000,2,3,2,11
749535.23241400000,3848315.00093000000,5,3,1,1
748259.85799900000,3849925.24855000000,5,3,1,1
732367.13070300000,3844994.02276000000,2,3,1,4
752313.87605500000,3845667.64304000000,1,2,2,1
731134.07718500000,3842803.70534000000,2,2,2,4
743713.42723000000,3847462.88501000000,5,2,2,1
751661.87673200000,3854519.12427000000,6,2,1,1
739300.78654200000,3840991.21704000000,2,3,1,10
740837.54732900000,3855743.17697000000,5,3,2,3
751805.16841200000,3856356.25404000000,5,3,1,1
732245.69333800000,3851712.57942000000,5,2,1,3
749974.26989900000,3848816.31637000000,5,3,1,1
756409.80664500000,3844422.22733000000,6,2,1,1
735619.10193600000,3852051.77659000000,2,3,1,6
733780.11044100000,3854202.10267000000,5,2,1,1
738735.06148500000,3849741.25941000000,5,3,2,10
753933.41010900000,3852544.04671000000,1,2,1,1
748073.35551600000,3843153.34019000000,1,3,1,3
754521.54288000000,3847764.59805000000,5,2,2,13
748973.42914800000,3840373.03705000000,1,1,1,3
744729.28955300000,3840377.98900000000,6,2,1,4
731393.96743500000,3842590.46193000000,2,2,1,4
741214.88135400000,3854784.69152000000,5,2,1,1
747291.19828600000,3850407.78486000000,5,3,1,14
727336.64157100000,3851601.62378000000,2,3,1,4
725845.52456200000,3843159.05235000000,1,2,1,1
730258.14356000000,3849672.23289000000,1,2,1,4
743431.37855000000,3841651.03172000000,6,2,2,4
739876.56734500000,3852197.72291000000,5,3,1,1
746423.23630800000,3849905.99067000000,2,3,2,0
749490.48613700000,3853556.43340000000,6,3,1,1
732605.76790700000,3856276.19812000000,6,3,1,1
734813.68983000000,3853570.30379000000,2,3,1,10
729041.45222700000,3846924.68686000000,2,3,1,3
727702.04367000000,3840958.16594000000,2,3,1,4
738206.30862400000,3854628.43257000000,6,2,1,3
739425.37258100000,3847638.83527000000,5,2,1,1
731542.47296100000,3855975.26211000000,6,3,1,1
751625.98591000000,3843229.30435000000,1,2,1,4
738689.03719000000,3854737.90817000000,6,2,1,3
746006.99108300000,3851247.46514000000,5,3,2,14
740892.18055400000,3842063.69879000000,6,2,2,10
743793.54464100000,3846479.82185000000,6,3,2,1
725729.09444500000,3848830.47469000000,2,3,1,11
733348.26429500000,3850004.42775000000,5,2,2,10
735195.96212200000,3850768.83651000000,2,2,2,12
734969.72504100000,3851291.12171000000,2,2,2,1
739210.25449700000,3846643.73601000000,6,3,1,4
726818.72154400000,3851436.47337000000,1,2,1,1
753436.46058700000,3852605.10990000000,1,3,1,1
742775.83640100000,3849349.95130000000,2,3,1,10
755499.73928600000,3853154.11438000000,1,3,1,1
742625.76335600000,3855063.88092000000,5,3,1,1
725834.68620600000,3854113.93945000000,1,3,1,4
750695.77478100000,3839435.72408000000,6,2,2,3
737881.40164100000,3850676.51561000000,5,2,1,1
739794.54936000000,3844338.47514000000,6,1,1,4
744355.27116000000,3855914.09197000000,5,1,1,3
725691.44101200000,3847780.44237000000,2,3,1,11
756485.35198200000,3855298.20908000000,1,3,1,1
734306.25468100000,3852915.85855000000,2,2,1,12
754074.69380300000,3850105.44876000000,6,3,1,1
736201.91063000000,3847858.80010000000,6,2,2,1
745291.71266900000,3855252.48424000000,5,2,1,4
735634.30369900000,3842905.80597000000,2,3,1,1
746468.26253700000,3839535.77823000000,5,2,1,4
738104.03974500000,3841964.51788000000,5,3,1,4
730165.82370600000,3841116.92528000000,2,3,2,1
752777.04744800000,3849851.31207000000,5,3,1,1
744207.76876400000,3843949.70586000000,1,3,1,1
739042.59740000000,3842216.85790000000,5,2,1,4
755742.19265100000,3840384.28690000000,1,3,1,4
746237.65152000000,3852233.78421000000,5,3,1,1
731906.35034400000,3840548.67113000000,2,2,1,12
754271.06700900000,3855939.73982000000,6,2,2,1
727368.34676100000,3851463.54978000000,2,2,1,6
742162.35245700000,3855235.67785000000,5,2,1,1
749021.72354400000,3848846.71314000000,5,3,1,1
739326.96657900000,3840432.65043000000,2,2,1,4
754967.44474900000,3852015.19109000000,1,3,1,1
737989.38322700000,3838952.50494000000,2,3,1,1
743382.77578200000,3844994.82233000000,1,2,1,1
